epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7043,1.94591,2.97686,2.95075,0.21673,0.37508,0.29348,0.2706,0.09462,1.54352,2.47368,2.62543,0.21181,0.00012,0.00012,0.00012
2,64.7687,1.67261,2.03353,2.3984,0.18473,0.72679,0.75725,0.76526,0.39278,1.46348,1.57286,2.23854,0.2035,0.000249704,0.000249704,0.000249704
3,96.8535,1.44085,1.50575,2.15266,0.17337,0.85021,0.82609,0.87533,0.53273,1.28568,1.27901,2.07231,0.17524,0.00036832,0.00036832,0.00036832
4,129.061,1.32599,1.26351,2.01372,0.16965,0.93259,0.82971,0.9286,0.54526,1.28955,1.18446,2.04427,0.16499,0.000475848,0.000475848,0.000475848
5,161.472,1.2851,1.09723,2.00071,0.15847,0.91682,0.86232,0.9324,0.60335,1.17875,1.02762,1.91287,0.15654,0.000572288,0.000572288,0.000572288
6,193.88,1.29972,1.07564,1.83662,0.14425,0.92475,0.89855,0.94992,0.63128,1.11294,0.99502,1.81807,0.15483,0.00065764,0.00065764,0.00065764
7,226.062,1.24616,0.98463,1.75451,0.15863,0.93139,0.91667,0.96723,0.69228,1.00466,0.89867,1.73524,0.1477,0.000731904,0.000731904,0.000731904
8,258.205,1.20457,0.92674,1.77443,0.14146,0.95919,0.92029,0.97214,0.7134,0.9929,0.89474,1.69026,0.13976,0.00079508,0.00079508,0.00079508
9,290.545,1.20445,0.89948,1.69293,0.16959,0.99217,0.91815,0.9781,0.70239,1.04101,0.83944,1.56955,0.14908,0.000847168,0.000847168,0.000847168
10,322.832,1.24732,0.92206,1.6499,0.15348,0.94151,0.93324,0.97421,0.70576,1.00061,0.80692,1.58502,0.14841,0.000888168,0.000888168,0.000888168
11,354.883,1.18265,0.88497,1.67036,0.15784,0.96592,0.93841,0.98474,0.7217,0.97378,0.76624,1.51771,0.14538,0.00091808,0.00091808,0.00091808
12,386.781,1.14911,0.81604,1.55786,0.1486,0.97792,0.93841,0.98734,0.72209,0.9581,0.73632,1.47739,0.14893,0.000936904,0.000936904,0.000936904
13,418.734,1.05071,0.767,1.49822,0.15502,0.97752,0.94533,0.98747,0.7254,0.96186,0.72423,1.48,0.1521,0.00094464,0.00094464,0.00094464
14,450.595,1.09998,0.79637,1.53593,0.1587,0.96853,0.94928,0.99047,0.73005,0.94656,0.71469,1.43298,0.14055,0.000941288,0.000941288,0.000941288
15,482.674,1.04716,0.736,1.54371,0.11284,0.96571,0.96739,0.9905,0.74752,0.87464,0.676,1.42581,0.13352,0.0008912,0.0008912,0.0008912
16,514.271,0.92199,0.71353,1.42615,0.12733,0.97826,0.96739,0.9913,0.75367,0.86646,0.67003,1.38809,0.13402,0.000812,0.000812,0.000812
17,546.007,1.00399,0.73135,1.54655,0.12705,0.98508,0.95705,0.98202,0.73202,0.86696,0.69529,1.37558,0.12781,0.0007328,0.0007328,0.0007328
18,577.723,0.99658,0.7342,1.45407,0.12945,0.97449,0.96877,0.98278,0.76903,0.81711,0.64311,1.37902,0.1198,0.0006536,0.0006536,0.0006536
19,609.766,0.922,0.67981,1.49993,0.11029,0.98077,0.96739,0.98364,0.77669,0.81077,0.60958,1.37843,0.12232,0.0005744,0.0005744,0.0005744
20,641.815,0.87342,0.66323,1.46169,0.09398,0.97959,0.98188,0.99177,0.78862,0.77611,0.59991,1.34384,0.11162,0.0004952,0.0004952,0.0004952
21,674.155,0.84053,0.63485,1.44666,0.10282,0.98191,0.98335,0.98413,0.79737,0.75699,0.58982,1.3423,0.10125,0.000416,0.000416,0.000416
22,708.181,0.91283,0.68502,1.50259,0.11202,0.98763,0.98551,0.99388,0.80193,0.73611,0.57407,1.32556,0.08958,0.0003368,0.0003368,0.0003368
23,742.098,0.86301,0.64842,1.45095,0.09922,0.99267,0.98163,0.99435,0.81184,0.71553,0.5607,1.31161,0.08585,0.0002576,0.0002576,0.0002576
24,775.755,0.8191,0.61212,1.41333,0.08818,0.98196,0.98631,0.99438,0.81705,0.70189,0.55128,1.31007,0.08841,0.0001784,0.0001784,0.0001784
25,808.693,0.81924,0.62382,1.40751,0.08601,0.98553,0.98727,0.99435,0.8141,0.69941,0.55026,1.30832,0.08837,9.92e-05,9.92e-05,9.92e-05
